,CCS,PrecIntensity,PrecMz,Precursor,RetTime,reps,Sample
310,133.135,185163.5,209.15370000000001,Z1MZ209TIM3P2,3.9365,2.0,SW218968-1
311,172.565,132956.0,363.1581,Z1MZ363TIM5P1,5.137,2.0,SW218968-1
312,116.0,115116.5,201.04680000000002,Z1MZ201TIM3P1,3.5735,2.0,SW218968-1
313,189.095,4977284.5,495.12915,Z1MZ495TIM3P1,3.7395000000000005,2.0,SW218968-1
314,124.465,68479.5,249.04039999999998,Z1MZ249TIM3P1,3.355,2.0,SW218968-1
315,135.53500000000003,36614.0,249.1119,Z1MZ249TIM3P2,3.888,2.0,SW218968-1
316,140.26999999999998,165387.0,234.18595,Z1MZ234TIM4P1,4.582000000000001,2.0,SW218968-1
317,109.10499999999999,13204.0,168.91895,Z1MZ168TIM1P1,1.7485,2.0,SW218968-1
318,109.53999999999999,14987.0,168.91865,Z1MZ168TIM1P2,1.8365,2.0,SW218968-1
319,112.64500000000001,34452.0,230.8928,Z1MZ230TIM6P1,6.612500000000001,2.0,SW218968-1
320,134.16000000000003,77910.5,230.1408,Z1MZ230TIM6P2,6.385,2.0,SW218968-1
321,131.82,40121.0,436.95635,Z1MZ436TIM5P1,5.5595,2.0,SW218968-1
322,163.42000000000002,545767.0,270.2806,Z1MZ270TIM5P1,5.8345,2.0,SW218968-1
323,116.47,67082.5,183.09555,Z1MZ183TIM0P1,0.1945,2.0,SW218968-1
324,116.57,49438.5,183.09515,Z1MZ183TIM0P2,0.5745,2.0,SW218968-1
325,125.005,64919.5,202.17970000000003,Z1MZ202TIM0P1,0.526,2.0,SW218968-1
326,164.44,538651.5,301.07635,Z1MZ301TIM5P1,5.3985,2.0,SW218968-1
327,164.45499999999998,344702.5,301.07669999999996,Z1MZ301TIM5P2,5.542,2.0,SW218968-1
328,164.865,690473.0,301.07640000000004,Z1MZ301TIM5P3,5.792,2.0,SW218968-1
329,165.18,269259.5,301.07625,Z1MZ301TIM5P4,5.1325,2.0,SW218968-1
330,165.38,125062.5,301.1392,Z1MZ301TIM5P5,5.2985,2.0,SW218968-1
331,164.975,272809.5,301.07640000000004,Z1MZ301TIM5P6,5.25,2.0,SW218968-1
332,130.12,65963.0,304.91585,Z1MZ304TIM3P1,3.474,2.0,SW218968-1
333,219.84,391298.0,528.4113,Z1MZ528TIM4P1,4.8309999999999995,2.0,SW218968-1
334,108.5,26791.0,188.85915,Z1MZ188TIM6P1,6.455,2.0,SW218968-1
335,127.715,75326.5,219.1051,Z1MZ219TIM3P1,3.2504999999999997,2.0,SW218968-1
336,137.805,4254958.5,219.17775,Z1MZ219TIM3P2,3.304,2.0,SW218968-1
337,138.075,731350.0,219.1764,Z1MZ219TIM3P3,3.5040000000000004,2.0,SW218968-1
338,136.95,486672.5,219.17514999999997,Z1MZ219TIM3P4,3.722,2.0,SW218968-1
